team,elo
Argentina,2180.589983048589
Spain,2175.123208753244
France,2125.17384763083
England,2108.6982556408316
Colombia,2054.551080466071
Brazil,2047.8158282636166
Germany,2039.2831427436727
Morocco,2019.0981536465054
Netherlands,2015.771796543199
Portugal,2007.1079123717532
Japan,1995.2843872743308
Norway,1979.196429969107
Mexico,1978.4226589975685
United States,1976.9066006517771
Switzerland,1950.0862980463503
Ecuador,1937.644703892428
Belgium,1929.9152787122803
Italy,1928.112562841347
Austria,1923.7063811102764
Croatia,1923.4651404317776
Uruguay,1922.530868229767
Denmark,1913.1113831438386
Canada,1894.7693281249187
Australia,1894.0592487823153
Iran,1877.2777764641614
South Korea,1875.1664998484512
Senegal,1866.156656714173
Turkey,1860.1448424750827
Ivory Coast,1858.2396062868734
Paraguay,1853.6349780627038
Nigeria,1850.4537088781785
Algeria,1848.509015642454
Russia,1846.5624859047684
Scotland,1834.2111158182818
Yugoslavia,1833.1563457392951
Sweden,1822.4984562197442
Basque Country,1819.4740092925172
Egypt,1809.4093655173301
Greece,1797.6195939417523
Uzbekistan,1797.4528355488035
Venezuela,1797.0708162176848
Serbia,1796.2143947484722
Ukraine,1792.114464260392
Jersey,1783.2248414161563
Hungary,1782.4850741603784
Poland,1779.63138193634
Chile,1779.5595809638583
Czechoslovakia,1777.6453797766205
Czech Republic,1768.828845431534
Republic of Ireland,1757.5335191350052
Kosovo,1755.9613603860937
DR Congo,1754.340534689481
Wales,1753.5103982382059
Panama,1749.1478051598317
Peru,1745.4354122473703
Guernsey,1737.8169905643306
Padania,1737.4046510282888
Slovenia,1736.5848806329625
Slovakia,1731.7590529493775
New Zealand,1729.2707746906087
Iraqi Kurdistan,1727.7133833441374
Saudi Arabia,1722.8938847522045
Jordan,1722.635171258136
Georgia,1722.073995972367
Costa Rica,1721.2320070917092
Cameroon,1717.7934948459485
Occitania,1713.9827497085241
Iraq,1709.1072418453127
German DR,1705.8602510117084
Northern Cyprus,1701.8983010969382
Catalonia,1700.9532646551997
Romania,1697.8041377781733
Mali,1687.721668091789
Isle of Man,1685.0247212548873
Bolivia,1682.8293208666223
United Arab Emirates,1682.233033989909
Tunisia,1675.9907895044398
Albania,1675.2869922628984
South Africa,1668.4011392235395
Honduras,1666.0615290450733
Cape Verde,1665.8200879924013
Ghana,1661.3379732116232
Israel,1657.598829279786
Northern Ireland,1654.6012898570013
Isle of Wight,1653.2380505655772
Bosnia and Herzegovina,1648.8133600089377
Jamaica,1642.2682481618374
Ynys Môn,1633.6121055918359
Abkhazia,1629.6572807107123
Haiti,1629.145524367195
Burkina Faso,1624.5668143673945
North Macedonia,1624.404899041033
Andalusia,1617.535504890571
Guatemala,1614.1957698055287
Kernow,1608.6454917498522
Qatar,1608.6180266035883
Iceland,1608.3211758734358
Kárpátalja,1591.7829330923646
Finland,1588.7699841130714
Oman,1586.4602392850961
Rhodes,1585.5369831680346
Angola,1582.5222867109085
County of Nice,1581.6621714858761
New Caledonia,1579.6533982774874
Réunion,1575.9462392305863
Curaçao,1574.2817704146448
Ellan Vannin,1571.5035998776882
Panjab,1570.959683952534
Suriname,1570.1907339258646
Corsica,1569.120704721989
China,1566.2470366393093
Artsakh,1565.8535670502251
Yorkshire,1562.9034774861152
Tamil Eelam,1559.7836049453608
Thailand,1558.916700700819
Menorca,1556.9666631700472
Belarus,1556.4653099148688
Syria,1554.8501337139069
Kurdistan,1552.4592411356305
Palestine,1547.2194858841492
Bahrain,1547.0466895409465
Zanzibar,1545.1259587887384
Galicia,1544.0807663786711
Arameans Suryoye,1543.6394814106436
Guinea,1542.420205905605
Cascadia,1538.6344990908337
Chameria,1536.9604371665328
Indonesia,1535.6472146171798
Quebec,1533.6644358749254
Bulgaria,1530.9950333061972
Zambia,1529.0780888387142
Montenegro,1528.2152786149888
Silesia,1527.2891052200512
Canary Islands,1526.6783118698063
Libya,1525.4176528092894
Maule Sur,1523.8546527311116
Gabon,1523.5716278072784
Guadeloupe,1521.5527964964429
Elba Island,1520.154597206913
Parishes of Jersey,1518.1816638681669
Asturias,1516.4683309030702
Brittany,1515.6723150742548
Western Armenia,1515.6332549637757
Trinidad and Tobago,1514.7196877357087
Malaysia,1514.6745611047859
Surrey,1513.060388276139
United Koreans in Japan,1512.970482769724
Biafra,1512.5049207312898
Donetsk PR,1508.790742037923
Tahiti,1508.5583998050502
Felvidék,1506.962995016777
Mapuche,1506.9242945639787
Sápmi,1506.0475530079152
Székely Land,1505.4806966170283
Gambia,1505.0201446251342
Délvidék,1501.4949259188143
Uganda,1499.8338376622519
Republic of St. Pauli,1499.327462509433
Benin,1498.9088922399944
Vietnam,1498.4719242858557
Saugeais,1495.2757119161859
Central Spain,1493.508287927744
Madrid,1493.0803970819873
Shetland,1492.9298526122452
Kazakhstan,1492.2984893726284
Madagascar,1492.2311688523162
Crimea,1491.4530813021063
Seborga,1489.0953257757646
Kuwait,1489.0635129853326
Togo,1488.6400024329564
Matabeleland,1487.7901556173667
Cilento,1487.5873367343704
Yoruba Nation,1486.5790634048624
El Salvador,1482.2492659080237
Nicaragua,1481.5313327674755
Luhansk PR,1481.1454788665226
Åland Islands,1480.3485899467182
Sealand,1479.3868996613458
North Vietnam,1478.756913311649
Luxembourg,1478.4268595776516
Dominican Republic,1477.953873107233
Somaliland,1476.994979728615
Gotland,1476.922395075418
Ryūkyū,1475.1499366008534
Provence,1474.8409212227598
Mozambique,1473.6699281360898
West Papua,1473.6407032831178
Martinique,1472.8677686829587
South Yemen,1472.022706490985
Franconia,1471.5931824996112
Comoros,1469.3746944496045
North Korea,1469.2972505148787
Aymara,1469.2210527049097
South Ossetia,1468.6774209258137
Rwanda,1467.0568281764467
Kyrgyzstan,1467.022501629662
Hmong,1464.9986375893188
Kenya,1463.937081125361
Kabylia,1461.7255589766853
East Turkestan,1460.1127271942119
Romani people,1459.7164232802104
Saarland,1459.37554391013
Niger,1456.9618571449573
Guyana,1455.2033422894835
Papua New Guinea,1453.61228405101
Greenland,1451.4294675268088
Zimbabwe,1445.3109151547649
Vanuatu,1444.634919707765
Mauritania,1443.7876215328201
Chechnya,1442.5689615683573
Mayotte,1442.4276820908503
Gozo,1441.0760973630515
Armenia,1440.9182100778285
Tajikistan,1440.9073830060793
French Guiana,1439.3230378272324
Găgăuzia,1438.7173681853942
Sudan,1438.4136324475712
Estonia,1437.2774644422075
Niue,1436.1221105108414
Manchukuo,1435.744237171629
Equatorial Guinea,1434.1388165543533
Faroe Islands,1433.7215812360437
Marshall Islands,1432.1112293971487
Sierra Leone,1429.936543213322
Western Isles,1429.5038116663734
Malawi,1427.44397591094
Palau,1427.153052834551
Lebanon,1425.6317011824387
Saint Barthélemy,1424.6510870564252
Ticino,1423.4853389671005
Liberia,1422.0491030922028
Fiji,1421.6400878737609
Tanzania,1417.309132374631
Barawa,1413.522891361448
Orkney,1409.4217356589322
Azerbaijan,1409.4143824192088
Western Australia,1403.881571823261
Vatican City,1402.9662582350147
Monaco,1402.650410392629
Western Sahara,1401.799359962759
Solomon Islands,1392.1318705923247
Cuba,1390.2471646135893
Namibia,1390.1800204753615
Turkmenistan,1389.73629959271
Cyprus,1388.992447430538
Vietnam Republic,1387.0225616800708
Two Sicilies,1386.5843810894507
Botswana,1386.0198471354715
Lesotho,1380.7106582056647
Ethiopia,1380.1119721298187
Malta,1377.65971233747
Burundi,1370.9124365653436
Raetia,1364.424783824794
Puerto Rico,1363.1666924765761
Saint Helena,1362.4810937593124
Guinea-Bissau,1356.9023146499549
Bermuda,1356.2099593126616
Yemen DPR,1353.666631357362
Latvia,1352.421589130218
Sark,1351.2309386611987
Philippines,1348.430606891722
Micronesia,1347.9432962774388
Lithuania,1347.8422186182295
Hitra,1346.3030893500315
Saare County,1345.2542024747377
Chagos Islands,1343.9548939353047
Saint Vincent and the Grenadines,1343.5129951879012
Moldova,1342.4700591161793
Hong Kong,1338.7794543852724
Congo,1334.433933503396
Central African Republic,1332.000404342746
Singapore,1322.621074615716
Ambazonia,1317.4547856496756
Saint Pierre and Miquelon,1312.635219227018
Wallis Islands and Futuna,1306.4983183550187
Grenada,1294.2872626806632
Belize,1289.399587583308
Saint Kitts and Nevis,1288.7876073105106
Eswatini,1287.9553107977351
Yemen,1286.6096470719576
India,1285.0059516307465
Sint Maarten,1272.9970727642753
Tibet,1267.3019024168448
South Sudan,1264.3057556471383
Samoa,1263.7662419764088
Saint Martin,1254.3036434395547
Kiribati,1252.4488935167678
Chad,1241.9484512114282
Tuvalu,1234.8858520445735
Saint Lucia,1233.9980938804051
Falkland Islands,1233.264442642948
Montserrat,1224.4396735600194
Mauritius,1222.6599054034014
Frøya,1210.4483857111288
Aruba,1209.2615733006899
Darfur,1207.4672082796155
Eritrea,1204.4596755163243
Gibraltar,1176.2515642594722
Dominica,1174.552899421855
Antigua and Barbuda,1173.4344710066325
Bonaire,1165.8361988131765
Afghanistan,1165.4143795276439
Andorra,1161.1356410238636
São Tomé and Príncipe,1160.9557935578769
Myanmar,1158.6010278790407
Cook Islands,1157.389816843194
Bangladesh,1153.8136658788844
Barbados,1143.3459196722272
Nepal,1121.2854782024574
Cambodia,1119.5944084743487
Tonga,1116.4149809377325
Pakistan,1104.1663671572203
Taiwan,1097.6323587556421
Alderney,1090.021384647619
Cayman Islands,1076.0026165621312
Djibouti,1059.803078406882
Turks and Caicos Islands,1053.4011373461735
Somalia,1043.641506844641
Maldives,1039.0685577426536
Sri Lanka,1036.5180373795354
British Virgin Islands,1032.1807425594661
United States Virgin Islands,1021.865139195294
Mongolia,1016.5411830862107
Seychelles,1013.994763279722
Northern Mariana Islands,1004.1081316737628
Liechtenstein,1003.6545770165989
Guam,1000.8775897403507
Bahamas,995.9187770473969
Laos,978.310016770028
American Samoa,970.6744193284455
San Marino,940.8505779548799
Brunei,930.9626786863186
Anguilla,926.9251418404024
Timor-Leste,888.5268463052179
Macau,872.0026511029344
Bhutan,869.357207793717
